,timestamp,value
0,1,8
1,2,604
2,3,774
3,4,728
4,5,893
5,6,681
6,7,526
7,8,821
8,9,697
9,10,549
10,11,729
11,12,715
12,13,784
13,14,643
14,15,1832
15,16,1792
16,17,2041
17,18,1491
18,19,1901
19,20,1878
20,21,1625
21,22,1617
22,23,1359
23,24,1627
24,25,1833
25,26,2387
26,27,2100
27,28,1911
28,29,1958
29,30,1212
30,31,2577
31,32,3271
32,33,1960
33,34,1601
34,35,1790
35,36,1376
36,37,1871
37,38,1786
38,39,1829
39,40,857
40,41,449
41,42,542
42,43,187
43,44,218
44,45,167
45,46,186
46,47,1335
47,48,1579
48,49,1773
49,50,1150
50,51,1808
51,52,2059
52,53,1636
53,54,1601
54,55,1747
55,56,1517
56,57,1490
57,58,1749
58,59,1743
59,60,1983
60,61,1961
61,62,1733
62,63,1744
63,64,1788
64,65,2109
65,66,1365
66,67,1341
67,68,871
68,69,790
69,70,1516
70,71,1410
71,72,1423
72,73,1636
73,74,494
74,75,1522
75,76,1685
76,77,1418
77,78,2420
78,79,1499
79,80,1651
80,81,1601
81,82,1654
82,83,1521
83,84,1695
84,85,1669
85,86,1749
86,87,1791
87,88,1905
88,89,1653
89,90,1646
90,91,1367
91,92,254
92,93,138
93,94,134
94,95,481
95,96,543
96,97,546
97,98,431
98,99,701
99,100,799
100,101,1154
101,102,1086
102,103,1018
103,104,890
104,105,627
105,106,942
106,107,804
107,108,668
108,109,957
109,110,837
110,111,1224
111,112,939
112,113,527
113,114,403
114,115,265
115,116,214
116,117,82
117,118,186
118,119,275
119,120,568
120,121,619
121,122,986
122,123,1271
123,124,494
124,125,991
125,126,744
126,127,618
127,128,1670
128,129,367
129,130,624
130,131,523
131,132,755
132,133,1003
133,134,625
134,135,505
135,136,696
136,137,298
137,138,187
138,139,51
139,140,65
140,141,22
141,142,11
142,143,24
143,144,71
144,145,60
145,146,100
146,147,111
147,148,152
148,149,739
149,150,710
150,151,878
151,152,662
152,153,719
153,154,488
154,155,630
155,156,618
156,157,598
157,158,591
158,159,654
159,160,641
160,161,531
161,162,164
162,163,191
163,164,76
164,165,77
165,166,66
166,167,57
167,168,95
168,169,104
169,170,209
170,171,147
