,timestamp,value
0,1,2
1,2,434
2,3,310
3,4,201
4,5,221
5,6,425
6,7,688
7,8,942
8,9,1238
9,10,1321
10,11,1560
11,12,1538
12,13,1159
13,14,979
14,15,1527
15,16,1168
16,17,1212
17,18,1313
18,19,1284
19,20,1086
20,21,935
21,22,1199
22,23,982
23,24,760
24,25,541
25,26,368
26,27,213
27,28,162
28,29,198
29,30,351
30,31,615
31,32,816
32,33,1039
33,34,1244
34,35,1345
35,36,1249
36,37,1262
37,38,1231
38,39,1148
39,40,1096
40,41,1032
41,42,1050
42,43,1241
43,44,1142
44,45,1172
45,46,1039
46,47,849
47,48,628
48,49,416
49,50,274
50,51,192
51,52,155
52,53,224
53,54,469
54,55,728
55,56,1361
56,57,1664
57,58,1563
58,59,1651
59,60,1448
60,61,1714
61,62,1548
62,63,1351
63,64,1226
64,65,1080
65,66,1527
66,67,1297
67,68,1212
68,69,1155
69,70,1174
70,71,872
71,72,646
72,73,410
73,74,253
74,75,179
75,76,139
76,77,231
77,78,432
78,79,708
79,80,1137
80,81,1264
81,82,1292
82,83,1435
83,84,1301
84,85,1109
85,86,1303
86,87,1245
87,88,946
88,89,990
89,90,1199
90,91,1156
91,92,1085
92,93,1183
93,94,1046
94,95,924
95,96,623
96,97,432
97,98,261
98,99,185
99,100,150
100,101,219
101,102,461
102,103,795
103,104,1360
104,105,1458
105,106,1465
106,107,1183
107,108,1428
108,109,1361
109,110,1238
110,111,1198
111,112,1304
112,113,1211
113,114,1248
114,115,1231
115,116,1198
116,117,1350
117,118,1226
118,119,899
119,120,671
120,121,501
121,122,289
122,123,189
123,124,153
124,125,259
125,126,455
126,127,744
127,128,1140
128,129,1339
129,130,1353
130,131,1314
131,132,1314
132,133,1088
133,134,1154
134,135,1082
135,136,1079
136,137,1137
137,138,1172
138,139,1120
139,140,1081
140,141,1044
141,142,1171
142,143,1024
143,144,774
144,145,542
145,146,380
146,147,257
147,148,178
148,149,169
149,150,290
150,151,540
151,152,795
152,153,1023
153,154,1257
154,155,1378
155,156,1238
156,157,1153
157,158,1059
158,159,961
159,160,768
160,161,902
161,162,1125
162,163,944
163,164,789
164,165,746
165,166,812
166,167,823
167,168,676
168,169,443
169,170,325
170,171,242
171,172,159
172,173,199
173,174,307
174,175,529
175,176,800
176,177,1046
177,178,1180
178,179,1328
179,180,1228
180,181,1165
181,182,1264
182,183,1015
183,184,1010
184,185,1056
185,186,1094
186,187,1165
187,188,986
188,189,837
189,190,973
190,191,860
191,192,567
192,193,446
193,194,331
194,195,208
195,196,154
196,197,158
197,198,265
198,199,463
199,200,730
200,201,879
201,202,1154
202,203,1342
203,204,1525
204,205,1313
205,206,1102
206,207,1342
207,208,1391
208,209,1334
209,210,1190
210,211,1246
211,212,1267
212,213,1404
213,214,1247
214,215,980
215,216,644
216,217,459
217,218,291
218,219,155
219,220,178
220,221,288
221,222,482
222,223,860
223,224,1360
224,225,1670
225,226,1695
226,227,1572
227,228,1470
228,229,1352
229,230,1268
230,231,1205
231,232,1413
232,233,1327
233,234,1008
234,235,1200
235,236,1171
236,237,1252
237,238,1201
238,239,940
239,240,697
240,241,432
241,242,273
242,243,184
243,244,177
244,245,224
245,246,440
246,247,699
247,248,973
248,249,1492
249,250,1438
250,251,1492
251,252,1406
252,253,1419
253,254,1182
254,255,1548
255,256,1615
256,257,1326
257,258,1508
258,259,1327
259,260,1256
260,261,1334
261,262,1212
262,263,948
263,264,675
264,265,431
265,266,271
266,267,196
267,268,196
268,269,229
269,270,483
270,271,743
271,272,1127
272,273,1298
273,274,1132
274,275,1371
275,276,1378
276,277,1416
277,278,1368
278,279,1502
279,280,1383
280,281,1301
281,282,1529
282,283,1520
283,284,1236
284,285,1430
285,286,1426
286,287,1058
287,288,712
288,289,474
289,290,293
290,291,208
291,292,195
292,293,278
293,294,510
294,295,905
295,296,1393
296,297,1428
297,298,1595
298,299,1576
299,300,1464
300,301,1364
301,302,1314
302,303,1109
303,304,1508
304,305,1454
305,306,1384
306,307,1408
307,308,1486
308,309,1542
309,310,1407
310,311,1114
311,312,772
312,313,540
313,314,298
314,315,197
315,316,195
316,317,290
317,318,530
318,319,786
319,320,1115
320,321,1325
321,322,1247
322,323,1314
323,324,1175
324,325,1154
325,326,1159
326,327,1142
327,328,1274
328,329,1241
329,330,1465
330,331,1219
331,332,1068
332,333,1266
333,334,1228
334,335,1009
335,336,717
336,337,543
337,338,309
338,339,211
339,340,177
340,341,194
341,342,357
342,343,587
343,344,843
344,345,1022
345,346,1187
346,347,1158
347,348,1293
348,349,1067
349,350,1150
350,351,1226
351,352,1167
352,353,1069
353,354,1189
354,355,1027
355,356,1040
356,357,1095
357,358,1018
358,359,799
359,360,642
360,361,551
361,362,289
362,363,246
363,364,162
364,365,146
365,366,270
366,367,485
367,368,756
368,369,1073
369,370,1263
370,371,1526
371,372,1896
372,373,1711
373,374,1338
374,375,1225
375,376,1345
376,377,1523
377,378,1572
378,379,1408
379,380,1443
380,381,1248
381,382,1163
382,383,939
383,384,602
384,385,376
385,386,219
386,387,185
387,388,138
388,389,270
389,390,454
